CarBuild_YearVolumeID;Mnemonic_Bodystyle;Year;Volume
1;100299;2018;0
2;100299;2019;0
3;100299;2020;0
4;100299;2021;9904
5;100299;2022;141815
6;100299;2023;142524
7;100299;2024;143237
8;100299;2025;143953
9;100416;2018;0
10;100416;2019;0
11;100416;2020;0
12;100416;2021;0
13;100416;2022;206
14;100416;2023;835
15;100416;2024;884
16;100416;2025;902
17;101176;2018;0
18;101176;2019;0
19;101176;2020;0
20;101176;2021;32433,35823
21;101176;2022;67137,05154
22;101176;2023;69486,84834
23;101176;2024;71918,88803
24;101176;2025;74436,04911
25;101181;2018;0
26;101181;2019;0
27;101181;2020;0
28;101181;2021;0
29;101181;2022;0
30;101181;2023;0
31;101181;2024;0
32;101181;2025;0
33;101230;2018;0
34;101230;2019;0
35;101230;2020;0
36;101230;2021;0
37;101230;2022;0
38;101230;2023;0
39;101230;2024;0
40;101230;2025;0
41;101279;2018;0
42;101279;2019;0
43;101279;2020;0
44;101279;2021;0
45;101279;2022;0
46;101279;2023;2596
47;101279;2024;11376
48;101279;2025;11604
49;101318;2018;0
50;101318;2019;0
51;101318;2020;0
52;101318;2021;0
53;101318;2022;0
54;101318;2023;0
55;101318;2024;0
56;101318;2025;0
57;101343;2018;0
58;101343;2019;0
59;101343;2020;0
60;101343;2021;0
61;101343;2022;0
62;101343;2023;0
63;101343;2024;0
64;101343;2025;0
65;101472;2018;0
66;101472;2019;0
67;101472;2020;0
68;101472;2021;0
69;101472;2022;0
70;101472;2023;0
71;101472;2024;0
72;101472;2025;0
73;101488;2018;0
74;101488;2019;0
75;101488;2020;0
76;101488;2021;0
77;101488;2022;0
78;101488;2023;0
79;101488;2024;0
80;101488;2025;0
81;101572;2018;5264
82;101572;2019;2396
83;101572;2020;0
84;101572;2021;0
85;101572;2022;0
86;101572;2023;0
87;101572;2024;0
88;101572;2025;0
89;101573;2018;35405
90;101573;2019;41134
91;101573;2020;12265
92;101573;2021;0
93;101573;2022;0
94;101573;2023;0
95;101573;2024;0
96;101573;2025;0
97;101574;2018;14715
98;101574;2019;16874
99;101574;2020;3070
100;101574;2021;0
101;101574;2022;0
102;101574;2023;0
103;101574;2024;0
104;101574;2025;0
105;101652;2018;40144
106;101652;2019;45702
107;101652;2020;47393
108;101652;2021;38231
109;101652;2022;0
110;101652;2023;0
111;101652;2024;0
112;101652;2025;0
113;102002;2018;17356
114;102002;2019;0
115;102002;2020;0
116;102002;2021;0
117;102002;2022;0
118;102002;2023;0
119;102002;2024;0
120;102002;2025;0
121;102048;2018;0
122;102048;2019;0
123;102048;2020;0
124;102048;2021;0
125;102048;2022;21776
126;102048;2023;50209
127;102048;2024;50460
128;102048;2025;50712
129;102596;2018;0
130;102596;2019;5153
131;102596;2020;5088
132;102596;2021;4539
133;102596;2022;4524
134;102596;2023;4506
135;102596;2024;4256
136;102596;2025;0
137;102869;2018;8930
138;102869;2019;0
139;102869;2020;0
140;102869;2021;0
141;102869;2022;0
142;102869;2023;0
143;102869;2024;0
144;102869;2025;0
145;102925;2018;0
146;102925;2019;0
147;102925;2020;0
148;102925;2021;0
149;102925;2022;0
150;102925;2023;4717
151;102925;2024;11943
152;102925;2025;12003
153;102926;2018;0
154;102926;2019;0
